RecipeID,UserID,Rating
6894323,27877177,5
6894323,39880813,5
6894323,64835594,5
6894323,90335729,5
6894323,41809282,5
6894323,28172568,5
6894323,40091065,5
6894323,47010431,5
6894323,24615165,5
6894323,89318679,5
6894323,25380708,5
6894323,74047747,5
6894323,47593997,5
6894323,69002692,5
6894323,50520031,5
6894323,15717115,5
6894323,21414639,5
6894323,31892868,5
6894323,52491260,5
6894323,49472795,5
6894323,53216941,5
6894323,62198880,5
6894323,75614989,5
6894323,79557337,5
6894323,zzzzzqh,5
6894323,47083006,5
6894323,96670652,5
6894323,86098867,5
6894323,66950408,5
6894323,48479054,5
6894323,20078718,5
6894323,35525328,5
6894323,82763863,5
6894323,23784247,5
6894323,42728046,5
6894323,60980564,5
6894323,98931353,5
6894323,17433285,5
6894323,86743998,5
6894323,25657584,5
6894323,19512351,5
6894323,79575767,5
6894323,12671426,5
6894323,19543519,5
6894323,26683659,5
6894323,14053362,5
6894323,84010946,5
6894323,18778220,5
6894323,75322412,5
6894323,83197249,5
6894323,92988160,5
6894323,13749808,5
6894323,29493735,5
6894323,76778447,5
6894323,31806269,5
6894323,37482688,5
6894323,82312935,4
6894323,29738289,4
6894323,54356249,4
6894323,27403033,4
6894323,32140019,4
6894323,51077354,4
6894323,44788373,4
6894323,33590905,4
6894323,76912904,3
6894323,14954474,2
6878340,27206112,5
6878340,39894396,5
6878340,20546463,5
6878340,58490927,5
6878340,37046444,5
6878340,78561749,5
6878340,12631894,5
6878340,87882659,5
6878340,17021996,5
6878340,15263224,5
6878340,17838248,5
6878340,46505506,5
6878340,73646605,5
6878340,73629196,5
6878340,sbit3,5
6878340,76895172,5
6878340,83832644,5
6878340,25111537,5
6878340,47296076,5
6878340,10107213,5
6878340,22436929,5
6878340,73710957,5
6878340,22052605,5
6878340,58955567,5
6878340,30841713,5
6878340,44221937,5
6878340,91447299,5
6878340,87568672,5
6878340,56759548,5
6878340,61021328,5
6878340,asj6389,5
6878340,91636451,5
6878340,52714073,5
6878340,25686125,5
6878340,25961783,5
6878340,ogi0qk5jyvzl269yhyc616c9qgwc@k,5
6878340,38407394,5
6878340,87904941,5
6878340,22515085,4
6878340,30225205,4
6878340,29238789,4
6878340,57761177,4
6878340,67399124,4
6897704,51131409,5
6897704,59008213,5
6904643,71213142,5
6904643,73031219,5
6881815,49416534,5
6881815,88714791,5
6881815,58074640,5
6881815,80806200,5
6881815,63404170,5
6881815,94700288,5
6881815,25716578,5
6881815,32371976,5
6881815,96943113,5
6881815,11677358,5
6881815,85830705,5
6881815,95155611,5
6881815,99861248,5
6881815,lovely623,5
6881815,53312809,5
6881815,21353339,5
6881815,13395065,5
6881815,78791420,5
6881815,98937334,5
6881815,79369874,5
6881815,88503930,5
6881815,20705786,5
6881815,39345184,5
6881815,52784622,5
6881815,21216540,5
6881815,witness813,5
6881815,35880420,5
6881815,73531475,5
6881815,66466868,5
6881815,27803199,5
6881815,92744071,5
6881815,70232384,5
6881815,42878776,5
6881815,17466238,5
6881815,84129887,5
6881815,56718047,5
6881815,64173325,5
6881815,41590637,5
6881815,62279458,5
6881815,is2588,5
6881815,69715613,5
6881815,99335382,5
6881815,84650682,5
6881815,60218186,5
6881815,21588154,5
6881815,55951067,5
6881815,50603858,5
6881815,94971709,5
6881815,62275607,5
6881815,88372861,5
6881815,99730247,5
6881815,25081849,5
6881815,87912906,5
6881815,62425077,5
6881815,59777291,5
6881815,90609555,5
6881815,19733839,5
6881815,29886017,5
6881815,48063750,5
6881815,58448987,5
6881815,58638123,5
6881815,13120843,5
6881815,55398755,5
6881815,87684344,5
6881815,phe106,5
6881815,82726573,5
6881815,86723853,5
6881815,69294215,5
6881815,51577071,5
6881815,20175700,5
6881815,27307160,5
6881815,22911208,5
6881815,55128916,5
6881815,47882048,5
6881815,36274225,5
6881815,fsysn2qg6p03jqzdo9mi7wxj1mqo@k,5
6881815,60195835,5
6881815,25391873,5
6881815,99049216,5
6881815,74067359,5
6881815,49294076,5
6881815,hnnn8,5
6881815,42375943,5
6881815,jj11223300,5
6881815,51805320,5
6881815,62155733,5
6881815,36840598,5
6881815,93019926,5
6881815,52395667,5
6881815,36122660,5
6881815,37315118,5
6881815,96937420,5
6881815,19082251,5
6881815,lsmdic123,5
6881815,65362979,5
6881815,53216941,5
6881815,82968884,5
6881815,81413146,5
6881815,83799613,5
6881815,28813567,5
6881815,88778623,5
6881815,70764349,5
6881815,97845413,5
6881815,67425793,5
6881815,63000693,5
6881815,43976962,5
6881815,18280162,5
6881815,50106540,5
6881815,77524714,5
6881815,15866783,5
6881815,60385437,5
6881815,99282729,5
6881815,97891724,5
6881815,30176368,5
6881815,91273487,5
6881815,choyongduk,5
6881815,77918027,4
6881815,50520031,4
6881815,evelin,4
6881815,38990497,4
6881815,12644259,4
6881815,76002990,4
6881815,65494051,4
6881815,81190294,4
6881815,39110428,4
6881815,10359043,2
6847470,11022381,5
6847470,86035064,5
6847470,72955732,5
6847470,61354930,5
6847470,59355723,5
6847470,13454966,5
6847470,58033933,5
6847470,33398762,5
6847470,25040170,5
6847470,60666298,5
6847470,23978071,5
6847470,78196055,5
6847470,76139910,5
6847470,15670159,5
6847470,38098132,5
6847470,88978985,5
6847470,23692251,5
6847470,94383280,5
6847470,82524216,5
6847470,90229436,5
6847470,18586366,5
6847470,77417931,5
6847470,93469308,5
6847470,62348046,5
6847470,50584510,5
6847470,70080668,5
6847470,jyun1102,4
6847470,78436970,4
6847470,87230415,3
6899874,81880540,5
6899874,jwkim89012,5
6899874,appia2000,5
6899874,hear26,5
6899874,23821165,5
6899874,89389636,5
6899874,27952500,5
